Review_Text,Review_Text_Processed,Actual_Label,Predicted_Label,prob_Negative,prob_Neutral,prob_Positive
"location wise it is placed in a prime location, centre of it area, gachibowli. food was so enak, only if you like chinese rasa, else don't visit. interior suasana was not so cool, very ordinary. different kind of soups and dimsums are available at reasonable prices. great tempat to hangout, but if you are planning to visit in weekend then prebooking is direkomendasikan.",location wise it is placed in prime location centre of it area gachibowli food was so only if you like chinese else don visit interior suasana was not so cool very ordinary different kind of soups and dimsums are available at reasonable prices great to hangout but if you are planning to visit in weekend then prebooking is rekomendasi,Neutral,Positive,0.05119975915850574,0.270748903716218,0.6780513371252762
Tempatnya sejuk,tempat sejuk,Neutral,Positive,0.05666218304251202,0.08846044112323473,0.8548773758342533
kocak jirr apk nya ngebut data driver sudah dimana gak ke update kasihan tukang antar makanannya nunggu 15m lebih🤣🤣,kocak jirr apk ngebut data driver mana tidak update kasihan tukang makan nunggu 15m,Neutral,Negative,0.6920114030360767,0.3066647186295556,0.0013238783343675943
"Heran, udh terverifikasi dan aktif. Bahkan dapat mail notifikasi kalau tokonya sudah bisa beroperasional tapi pas cek di Grabfood Pengguna hasilnya toko malah tutup. Tolong dong penanganannya, saya sudah hubungi pihak Grab support juga padahal.",heran verifikasi aktif mail notifikasi toko operasional pas cek grabfood guna hasil toko tutup tolong tangan hubung grab support,Neutral,Negative,0.5469962924890065,0.4470870864539061,0.005916621057087353
"Masukan kasih kebebasan outlet buat bikin diskon menu. Jadi tidak harus di atas 10% baru bisa bikin diskon menu. Lah kalo yg harga menu nya pas pas an mau bikin diskon menu jadi rugi. Harga menu 10.000 di potong gojek 20% di potong lagi diskon resto 15%.. restonya dapat apa? Balik modal aja tidak!! Lama2 ini bisa kalah sama grabfood, dia bebas bikin diskon menu.",masuk kasih bebas outlet bikin diskon menu tidak bikin diskon menu kalo harga menu pas pas an bikin diskon menu rugi harga menu potong gojek potong diskon resto restonya modal tidak lama2 kalah grabfood bebas bikin diskon menu,Neutral,Negative,0.5932046900156919,0.3975179761642347,0.009277333820073478
tiba2 banget rating resto turun padalan rating 4.7 dan gaada pelanggan yg kompline tiba2 banget jd 3 resto jadi sepi bettt yaallah,tiba2 banget rating resto turun padalan rating gaada langgan kompline tiba2 banget resto sepi bettt yaallah,Neutral,Negative,0.6859326530093136,0.303414849580458,0.010652497410228425
"Tolong diperbaiki,notif order kadang gk masuk ,pas ada ojol nya baru tau ada yg masuk padahal jaringan bagus hp spek tinggi",tolong baik notif kadang tidak pas ojol tau jaring bagus hp spek tinggi,Negative,Neutral,0.3291723055063175,0.6593398385792196,0.011487855914462965
"penguncinya kurang 1 baris cuma muat 2 baris saja baris setelah gak ada penguncinya jadi gak kepake yng 1 baris,,sisanya, kardus padahal utuh,, kayaknya kurang lengkap pas nyiapkan kadung klik tetima,, mohon lain kali di cek teliti sebelum kirim",kunci baris muat baris baris tidak kunci tidak kepake yng baris sisa kardus utuh kayak lengkap pas nyiapkan kadung klik tetima cek teliti,Neutral,Negative,0.8851104433740875,0.08616857425112273,0.028720982374789684
The steak espc lambshank is good. They also use quite good quality of meat (do not compare with wagyu or cobe!). They can work more on the mash potato.,the steak espc lambshank is good they also use quite good quality of meat do not compare with wagyu or cobe they can work more on the mash potato,Positive,Neutral,0.09831729401399686,0.5063166623235976,0.3953660436624054
enyaaaak...uda disedot..mangyac nya abis..akirnya ganti strow..sayang ga dapet bonus sepeeti yg lain haha,enyaaaak uda sedot mangyac abis akirnya ganti strow sayang tidak dapet bonus sepeeti,Positive,Negative,0.4720475350404708,0.4682193258164658,0.05973313914306334
mayan lah buat gantiin corong yg patah👍 blm dicoba tapi semoga pas ukurannya.,mayan gantiin corong patah belum coba moga pas ukur,Negative,Positive,0.30745395079409776,0.2966774325051829,0.3958686167007193
Apk gak jelas gak bisa buat ganti harga sama pasang foto menu,apk tidak tidak ganti harga pasang menu,Negative,Neutral,0.32952351237841015,0.6599997846804878,0.010476702941102103
"the new tempat in the financial district which everyone is talking about and is known for its dance floor as its usp. i went here with my team on friday night and booked upper deck for the same. the tempat no doubt is very spacious and has one of the best dance floors in hyderabad. the light system and other props were good. it reminded me of club octagon in gangnam, seoul. overall suasana is good with 2 levels of seating where ground floor can is suitable for small groups or couples and upper deck has sofa sets for bigger groups. food is just average here. starters like paneer tikka, baby corn or chicken tikka were very greasy. main course was also not upto the mark. worst thing i experienced about this tempat is the pelayanan. i asked person attending us to start the main course at 8.30 pm. to which he replied it will take another half an hour to get the main course ready. it would have been fine if main course got started at the said time but after many more follow ups it started at 10 pm !! this really pissed me off and ruined whole experience. i wanted to give 1 star but giving it 2 just because of suasana. food: 2.5 pelayanan: 1 suasana: 4",the new in the financial district which everyone is talking about and is known for its dance floor as its usp went here with my team on friday night and booked upper deck for the same the no doubt is very spacious and has one of the best dance floors in hyderabad the light system and other props were good it reminded me of club octagon in gangnam seoul overall suasana is good with levels of seating where ground floor can is suitable for small groups or couples and upper deck has sofa sets for bigger groups food is just average here starters like paneer tikka baby corn or chicken tikka were very greasy main course was also not upto the mark worst thing experienced about this is the layan asked person attending us to start the main course at pm to which he replied it will take another half an hour to get the main course ready it would have been fine if main course got started at the said time but after many more follow ups it started at pm this really pissed me off and ruined whole experience wanted to give star but giving it just because of suasana food layan suasana,Negative,Positive,0.30369206526616715,0.264536781561743,0.4317711531720899
"Packing aman, pengiriman cepat, produk sesuai deskripsi, asesoris lengkap, hanya kartu garansi tdk distempel, semoga awet",packing aman kirim cepat sesuai asesoris lengkap kartu garansi tidak stempel moga awet,Positive,Negative,0.6014451965516323,0.0028404018862904393,0.3957144015620771
ok banget bro mantabb,ok banget bro mantabb,Neutral,Positive,0.03553065784267216,0.42500762590755353,0.5394617162497742
Loading mau masuk dan tutup resto ga bisa,loading tutup resto tidak,Negative,Neutral,0.44759239631393816,0.5509333046697024,0.0014742990163595347
"Pesanan d batalkan by system akan mjd boomerang utk shopeefood,notifikasi pesan baru tdk ada, eee pesanan sdh d batalkan sistem.. yg lain improve kemajuan,shopeepartner mlh mundur performa aplikasinya😁",pesan batal by system mjd boomerang shopeefood notifikasi tidak eee pesan batal sistem improve maju shopeepartner mlh mundur performa aplikasi,Negative,Neutral,0.375164062443922,0.6211157269085398,0.00372021064753838
"Kak tolong Adain report untuk customer, baru saja ada kejadian customer penipu kasian drivernya sudah ke resto tapi customer tidak bisa dihubungi",kak tolong adain report customer jadi customer tipu kasi drivernya resto customer tidak hubung,Neutral,Negative,0.6419936951871111,0.3402466478944528,0.017759656918436145
"tolong kasih resto hak untuk kasih rating ke pembeli dan driver juga donk.. karena rasanya g adil banget kita dinilai sesuka hati mereka kalo lagi happy rating bagus kalo bad mood rating jelek.. apa lagi kalo driver yg malah g terima kalo orderan dia belum dbikinin (ato masih dalam proses) kan kita dapat orderan g cuma dari gojek, mana perubahan notifnya untuk boleh diproses baru 5 menitan (hujan deras jadi ma gojek dsuruh hold dulu) minta langsung jadi gila aja dikira sulap apa gimana?!",tolong kasih resto hak kasih rating beli driver donk adil banget nilai suka hati kalo happy rating bagus kalo bad mood rating jelek kalo driver kalo order belum dbikinin ato proses order gojek ubah notifnya proses menit hujan deras ma gojek dsuruh hold gila sulap gimana,Negative,Neutral,0.3544039253877088,0.6404967874007791,0.005099287211512086
Rasa cadburry udah gak ada yaa padahal itu yg best,cadburry udah tidak yaa best,Positive,Neutral,0.02485352628161493,0.5725527954488348,0.4025936782695503
"mantap,,amanah ..tapi harganya tidak sesuai yah kk..heee..pokoknya mantep harus AMANAH yg penting",bagus amanah harga tidak sesuai yah kk heee pokok mantep amanah,Negative,Positive,0.10973918068947482,0.026586797000717206,0.8636740223098079
"pelayanan gobiz makin kesini makin jelek, dapet orderan gak langsung dapet driver, harus tunggu intruksi 15 mnit, nunggu dapat driver 15 menit, nunggu driver datang 15 menit, driver dapet dobel order datang lama, proses pangantaran 15 menit, totar orderan sampai konsumen 1 jam lebih, gimana mau bersain sama aplikasi lain kalo pelayananya begini terus, kalau aplikasi lain begitu masu order ya + drivernya gak harus nunggu lama driver datang kemput makanan, tolong lah pelayanannya di perbaiki lg",layan gobiz kesini jelek dapet order tidak dapet driver tunggu intruksi mnit nunggu driver nunggu driver driver dapet dobel proses pangantaran totar order konsumen gimana bersain aplikasi kalo pelayananya aplikasi masu drivernya tidak nunggu driver kemput makan tolong layan baik lg,Neutral,Negative,0.7537969759804073,0.24606873650689925,0.00013428751269343252
aplikasinya terlalu sering update saya tiap mau transaksi aplikasinya gak jalan minta update dulu jadi kelamaan nuggu update,aplikasi update transaksi aplikasi tidak jalan update nuggu update,Negative,Neutral,0.31791624415202235,0.6816123199606324,0.0004714358873452748
"yg datang kurang dari pesanan, kemasan paketnya ad yg sobek",pesan kemas paket ad sobek,Negative,Positive,0.17981243606385888,0.30698220179524316,0.5132053621408981
"Saya sudah tulis motif iron cement, tapi ternyata ga ke save. Penjual ga tanya motif dulu, malah langsung kirim motif acak. ??",tulis motif iron cement tidak save jual tidak motif motif acak,Neutral,Negative,0.6586725193980891,0.3274028966600934,0.013924583941817484
Banyak pilihan makanan bagi pengunjung.,pilih makan unjung,Positive,Neutral,0.029356631178756337,0.6114838709109512,0.3591594979102925
baru mau mulai ikut jualan di gofood tp mau masukin alamatnya susah bener mana ga bisa isi manual.. sudah klik alamat yg bener tp yg di pasang bukan yg di klik capek sehhh,jual gofood masukin alamat susah bener tidak isi manual klik alamat bener pasang bukan klik capek sehhh,Negative,Neutral,0.41560043838227617,0.582467187822438,0.0019323737952858184
"what can i say about this tempat. i used to stay in gachibowli and used to visit the tempat often. it's a happening tempat during weekends, not so much during weekdays, but i have never seen it overcrowded (which is why i love it so much). one negative i would say is that the harga are a bit higher than their competition.",what can say about this used to stay in gachibowli and used to visit the often it happening during weekends not so much during weekdays but have never seen it overcrowded which is why love it so much one negative would say is that the harga are bit higher than their competition,Positive,Neutral,0.07255855747156428,0.590102103434559,0.3373393390938767
"Min cuman pengen kasih tau kalo shopee terus gunain sistem terima orderan secara manual harus KLIK BOTTON KONFIRMASI DLU, sdh dipastikan pelanggan akan pindah ke merchant sblh grab dan gojek, kta sebagai mitra ga masalah sih g dpt orderan dari shoppe karna ter-cancle secara tiba2 msh ada beberapa merchant jg dan kita bisa jual secara offline tanpa harus online, sdh coba konfirm cs solusinya dari cs hrs clear cache, update, dkk tp itu bkn Win win solution. masa Developer shopee ga bisa solve 🥱",min cuman ken kasih tau kalo shopee gunain sistem order manual klik botton konfirmasi dlu langgan pindah merchant sblh grab gojek kta mitra tidak dpt order shoppe ter cancle tiba2 merchant jual offline online coba konfirm cs solusi cs hrs clear cache update dkk bkn win win solution developer shopee tidak solve,Negative,Neutral,0.4909313991724306,0.508607879491236,0.00046072133633348985
kintan buffet restoran all you can eat yang ada di bandung dan kota2 besar lainnya kintan buffet hanya menyediakan waktu makan maksimal 90 menit sejak pesanan pertama datang guna mencegah kelebihan waktu pada menit ke70 pelayan akan memberitahukan sisa waktu pada pelanggan paket menu yang diinginkan kintan buffet menyediakan empat alternatif yakni reguler buffet dengan 10 pilihan daging rp158000 kintan buffet dengan 18 pilihan daging rp238000 premium kintan buffet dengan 28 pilihan daging rp338000 dan special wagyu buffet dengan 34 pilihan daging rp458000 satu table wajib memilih paket menu sama selamat mencoba,kintan buffet restoran all you can eat bandung kota2 kintan buffet sedia waktu makan maksimal pesan cegah lebih waktu ke70 layan memberitahukan sisa waktu langgan menu kintan buffet sedia alternatif reguler buffet pilih daging rp158000 kintan buffet pilih daging rp238000 premium kintan buffet pilih daging rp338000 special wagyu buffet pilih daging rp458000 table wajib pilih menu selamat coba,Negative,Neutral,0.043617852547984094,0.5256182396633208,0.4307639077886951
Busa yang kanan kendor knp?,busa kanan kendor knp,Negative,Neutral,0.2791688583021092,0.6849263479327059,0.035904793765184885
Jelekkkk kadang gg bisa konfirmasi pesanan. Kadang gg bisa back liat riwayat harus instal ulang terussss tolong donk di perbaikiiiiii tp selalu toko yg kena skor!!!!!,jelekkkk kadang gg konfirmasi pesan kadang gg back liat riwayat instal ulang terussss tolong donk perbaikiiiiii toko skor,Negative,Neutral,0.24067013938467716,0.7458820587046594,0.013447801910663372
mintak tolong lain kali klo pesen level 3 y level 3 aja jgn digenti level 13 makasih!,mintak tolong klo sen level level jgn digenti level terima kasih,Negative,Neutral,0.2619413524246564,0.45176633446250375,0.2862923131128399
Ganti alamat resto ko lama banget gak kaya aplikasi sebelah gak sampe 5jam sudah bisa buat cari duit lagi,ganti alamat resto ko banget tidak kaya aplikasi belah tidak sampe 5jam cari duit,Neutral,Negative,0.8439907551924204,0.15341386362548518,0.0025953811820944553
"Tolong kembalikan seperti semula yaitu order otomatis masuk, kami sebagai penjual tentu sangat senang jika ada order masuk tidak usah harus dicocol,karena sangat merepotkan dan kami juga melayani off line, terimakasih",tolong kembali otomatis jual senang tidak cocol repot layan off line terimakasih,Neutral,Negative,0.6231598167740963,0.24382569818242847,0.13301448504347527
"Mantap tapi sayang, udh semingguan masa baru dapet orderan 3",bagus sayang minggu dapet order,Neutral,Negative,0.7723747138973523,0.20386082748656276,0.023764458616085008
Pencairan selalu telat...ga lgsg cair...dl2 lgsg cair habis tengah mlm..kalau ga bisa lgsg cair kasih pilihan dong buat nyairin kapan..,cair telat tidak lgsg cair dl2 lgsg cair habis tengah mlm tidak lgsg cair kasih pilih nyairin,Negative,Neutral,0.4159334629910355,0.5418602608170118,0.04220627619195274
"Tolong dong pihak grab merchnt sy merasa di rugikan kalo pesanan di batalkan,sya tutup jam 10 malam dan mendapatkan pesanan di jam 9.53 sya siapkan pesanan dan membuat pesanna ga lama ada tulisan pesnan dibatalkan GATAU DENGAN ALASAN APA!sya udh buat pesanan nya pas sya klik lihat rincian udh ga bsa lagi dan otomatis pesanan di batalkan dan ada tulisan tutup toko karna sudah jam 10.tolong di perbaiki lagi dengan alasan yg jelas.sangat merugikan sekali!",tolong grab merchnt sy rugi kalo pesan batal sya tutup malam pesan sya siap pesan pesanna tidak tulis pesnan batal gatau alas sya pesan pas sya klik rincian tidak bsa otomatis pesan batal tulis tutup toko tolong baik alas rugi,Neutral,Negative,0.6932097472524806,0.3066866334315657,0.0001036193159536294
Ternyata kecil hanya cocok buat anak anak kl buat dewasa kepala besar terlalu nyekek tapi warna bagus sesuai pesanan,cocok anak anak kl dewasa kepala nyekek warna bagus sesuai pesan,Neutral,Positive,0.18928209891070352,0.017574318883158812,0.7931435822061376
Sekarang gak ada promo combo Semua promo di sertai iklan Sudah 1 minggu ini gak ada yang masuk orderan sama sekali Sayang banget padahal biasanya tiap hari selalu ada Saya males kalau harus ikut promo Ketika gak ada orderan masuk tp ada yg klik resto kita otomatis kepotong Ya potong nya dr hasil jualan kita kemarin Tolong di perbaiki kembali,tidak promo combo promo serta iklan tidak order sayang banget males promo tidak order klik resto otomatis potong potong dr hasil jual tolong baik,Neutral,Negative,0.6857877151688213,0.31376611437110674,0.0004461704600719707
maaf kok beranfakan yaa mie nya tumpah terus packing nya juga kurang rapi lohhh,maaf beranfakan yaa mie tumpah packing rapi lohhh,Negative,Positive,0.0414681538362967,0.20564679942811293,0.7528850467355904
"agak kecewa sih akhir ""ini gojek klo mau pesen makan dimalam hari susah banget nemu driver nya,, sampe harus nunggu 1/2 jam tetap masih gk dapat driver nya.",kecewa gojek klo sen makan malam susah banget nemu driver sampe nunggu tidak driver,Negative,Neutral,0.2393367313387008,0.7588977377839764,0.0017655308773228675
lama bgt cari go food,banget cari go food,Negative,Neutral,0.35053354541824866,0.3748866631780997,0.2745797914036516
"Ya utk harga 100an lumayan worth, cuma rgb kanan dan kiri ga selaras sih, sama ada deflect gara gara pengiriman mungkin.",harga 100an lumayan worth rgb kanan kiri tidak selaras deflect gara gara kirim,Neutral,Negative,0.6684621073549155,0.1842531422386882,0.14728475040639624
"Maaf saya kasi bintang 3, driver ada banyak tapi nggak ada yg ambil orderan akhirnya orderan batal otomatis, rugi makanan sudah jadi, mengajukan kompensasi ditolak, tolong diperbaiki lagi, sediakan juga fitur agar resto bisa memberi penilaian kepada driver dan cs.",maaf kasi bintang driver tidak ambil order order batal otomatis rugi makan aju kompensasi tolak tolong baik sedia fitur resto nilai driver cs,Neutral,Negative,0.6070116425742977,0.39250889182514437,0.00047946560055787024
G bisa nyambung,nyambung,Neutral,Positive,0.0955328137826395,0.4310584445126248,0.4734087417047357
"udah beberapa kali pesen gofood,ga dapat ² driver padahal masih siang",udah sen gofood tidak driver siang,Negative,Neutral,0.08239445926438646,0.8600410110403172,0.05756452969529644
quantity is less.,quantity is less,Neutral,Negative,0.5362828209531565,0.22460174610387634,0.23911543294296722
"gaada rasanya ,",gaada,Positive,Negative,0.5514015054894512,0.41162134721672766,0.03697714729382114
kenapa kalau ada pesanan sering g bisa di proses dan suka batal sering ini gimana min lokasi saya depan jalan raya gampang di temukan sering banget kayak gitu,pesan proses suka batal gimana min lokasi jalan raya gampang temu banget kayak gitu,Negative,Neutral,0.22628307968150754,0.736575530324367,0.03714138999412545
"Pesanan agak lama juga ya, meski saya pesan yg simpel tapi harus ikut antrian yg pembelian banyak",pesan simpel antri beli,Neutral,Positive,0.026159257799041574,0.3585429251515107,0.6152978170494477
"Kebiasaan dari dulu kalo ada orderan tidak bunyi! Sudah bertahun"" Kendala seperti ini di biarkan saja. Tolong diperbaiki dong di perhatikan!",biasa kalo order tidak bunyi tahun kendala biar tolong baik perhati,Negative,Neutral,0.49344581662988585,0.5062644080394151,0.0002897753306990229
"+++ Iya bagus.. Seller Fast respon.. Harga menarik, pas dikantong. Layarnya besar, buat zoom in/out baca dokumen di Tab ini nyaman buat mata. Minus : Beraddd gak cocok dibawa kmn2",iya bagus seller fast respon harga tarik pas kantong layar zoom in out baca dokumen tab nyaman minus beraddd tidak cocok bawa kmn2,Positive,Negative,0.575161526893451,0.03829274826846581,0.38654572483808314
"Tempat makan yang mengerikan. Bahkan jika Anda sudah memesan tempat, mereka tidak mencatat tempat Anda. Harus menunggu 10 menit dan kemudian mereka lupa bahwa kami sedang menunggu.",makan keri mes tidak catat tunggu lupa tunggu,Neutral,Negative,0.6638440610658,0.2993943892172475,0.03676154971695245
"Bagus, bagus, bagus, bagus",bagus bagus bagus bagus,Neutral,Positive,0.02725995914922512,0.03571483665006533,0.9370252042007097
Barang nya ternyata tidak kompatibel dgn Zojirushi.,tidak kompatibel zojirushi,Negative,Neutral,0.3649482023905416,0.43793605122360346,0.19711574638585497
"Kenapa yaa proses pembayaran penghasilan orderan suka gak jelas,kadang full di tranfer kadang juga gak full ,udah gtu gak ada penjelasaan itu potongan apa,jatohnya rugi si buat penjual kecil. Mana susah banget kalau ada kendala apa2 gk bisa hubungi cs nyaa.",yaa proses bayar hasil order suka tidak kadang full tranfer kadang tidak full udah gtu tidak jasa potong jatohnya rugi si jual susah banget kendala apa2 tidak hubung cs nyaa,Neutral,Negative,0.5250031249137017,0.46994183058603145,0.005055044500266833
"Benerin alamat masak hampir 2minggu belum bener*,respon pun lama banget,,,kasian sekali driver",benerin alamat masak 2minggu belum bener respon banget kasi driver,Neutral,Negative,0.7350346018801254,0.23955380236146823,0.025411595758406406
sudah beberapa hari ini tidak bisa dapat driver untuk orderan gofood. pesanan tidak bisa dibatalkan. tapi kita wajib nunggu 1 jam tetap aja ga dapet. kalo ada masalh dengan driver jangan zalim ke customer donk.,tidak driver order gofood pesan tidak batal wajib nunggu tidak dapet kalo masalh driver jangan zalim customer donk,Negative,Neutral,0.2851795243161913,0.7139107594301743,0.0009097162536343133
@augusta_tehe nder fore butterscotch enak bgt trus jangan lupa makan pempek ️ masih banyak makanan aneh lain yang belom kmu coba pls pls,augusta tehe nder fore butterscotch banget trus jangan lupa makan pempek makan aneh bom kmu coba pls pls,Positive,Neutral,0.024970517713030892,0.693597082756897,0.2814323995300722
"Nice place to get lunch, but the road to that place is not yet registered on Google Maps, you need to take left at the fork before Patra Comfort Hotel",nice place to get lunch but the road to that place is not yet registered on google maps you need to take left at the fork before patra comfort hotel,Positive,Neutral,0.06307645809302301,0.7545249834066037,0.1823985585003734
"here, biriyani rasa is nice. wajib dicoba ulavacharu flavour here. nothing to say about suasana and nothing much to say about overall pelayanan.",here biriyani is nice wajib coba ulavacharu flavour here nothing to say about suasana and nothing much to say about overall layan,Neutral,Positive,0.020877637011726725,0.33360732016249345,0.6455150428257798
Semua varian enak rasanya,varian,Positive,Neutral,0.09659348862261538,0.47236073711224585,0.4310457742651388
"Seller responsive, packaging aman, hanya saja sepertinya stok lama di gudang jd kerdus udah debuan, pengiriman agak lama, tapi produk oxone kualitasnya tak diragukan lah",seller responsive packaging aman stok gudang kerdus udah debu kirim oxone kualitas tak ragu,Negative,Positive,0.3655224367594775,0.03964450541502677,0.5948330578254958
💖 gapernah mengecewakan,gapernah kecewa,Positive,Negative,0.4505990954555153,0.4347975616116421,0.11460334293284255
"Setelah ada mode hemat rating jadi anjlok,, bnyak problem dari resto ke pelanggan.",mode hemat rating anjlok bnyak problem resto langgan,Negative,Neutral,0.1740605772803594,0.6914068197620732,0.1345326029575674
"Produk berfungsi dengan baik. Setting dan pemasangan mudah. Pengemasan aman, hanya saja respon penjual terhadap pesanan dan pengiriman super lama.",fungsi setting pasang mudah emas aman respon jual pesan kirim super,Negative,Positive,0.3355028059095787,0.0034264291272097045,0.6610707649632116
"Aplikasi yang sangat tidak praktis, merubah menu tidak langsung lewat aplikasi, muter2 ga jelas",aplikasi tidak praktis rubah menu tidak aplikasi muter2 tidak,Negative,Neutral,0.10268466900628903,0.8957787223637426,0.0015366086299684373
Berfungsi tapi sayangnya penyok,fungsi sayang penyok,Neutral,Negative,0.856251066520321,0.08153222569355768,0.062216707786121275
Tempat area playland nya panas padahal banyak anak2 main.. mohon di perbaiki AC nya.,area playland panas anak2 main baik ac,Neutral,Positive,0.08644465676793356,0.43472477433122975,0.4788305689008367
"Sejauh ini penggunaan nya cukup membantu..hanya saja biaya promosi terlalu tinggi dan slalu perpanjangan masa berlaku secara otomatis tanpa notifikasi..tolong dong diperbaiki lg sistemnya biar sama² enak Jd resto tidak rugi dan untung diaplikasi,kalo mau naikin harga trus kurang make sense rasanya.. terimakasih.",guna bantu biaya promosi tinggi slalu panjang laku otomatis notifikasi tolong baik lg sistem biar resto tidak rugi untung aplikasi kalo naikin harga trus make sense terimakasih,Neutral,Negative,0.5344850802058099,0.4638610489977252,0.001653870796465038
"Barang diterima dengan baik, walau ada sedikit kendala dalam proses pengiriman",terima kendala proses kirim,Positive,Negative,0.9085899266897611,0.02064803931926853,0.07076203399097017
"kualitas ala kadar nya. obeng buat buka mur,ujung matanya kalah. meletot. padahalur nya ngga terlalu kenceng. bahannya kurang bagus",kualitas ala obeng buka mur ujung mata kalah meletot padahalur tidak kenceng bahan bagus,Neutral,Negative,0.643622383518297,0.18058310316537948,0.17579451331632348
"ujungnya sedikit robek dan rusak, tapi secara keseluruhan baik",ujung robek rusak,Neutral,Negative,0.8532105603096461,0.13031975145917596,0.016469688231177865
