Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop inch,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
packing aman pengiriman cepat dan barang berfungsi dengan baik,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
produknya baik dan kualitasny good banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga so overall very good lah,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang udah sampai ya gan dan berfungsi terima kasih,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
barang mantap sesuai deskripsi laptop jadi adem n sejuk,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
produk saya terima dengan kondisi baik terima kasih,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih yah semoga sukses usaha nya aamiin,unknown,5,Tokopedia,Positive,Harga,No,Elektronik,No
mantab barang nya oke punya,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
pengiriman cepat packing rapi kualitas mantap,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
silent dan bagus untuk pekerjaan ringan,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
bagus berkualitas sesuai gbr makasih seller tokped dan kurir,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantap kipasnya kenceng barangnya berkualitas sesuai sama harga,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu mantap lah,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
sangat presisi dan pas,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
puas banget seller helpfull sangat responsif dan cepet banget sampai nya recomended,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
mantappp responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantap barangnya cepet sampai dan enak digunainnya,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
barang bagus oke cepat pengirimannya juga,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
pengiriman cepat seller responsif,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
barang berfungsi baik pemilik toko sangat responsif dan membantu saat ada sedikit kendala sukses tokonya ya gan,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
seller luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
sangat kecewa baru bulan scroll sudah rusak,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
jelek yg pasti jauh dari ori mousepad jd ga bs dipakai kl di charger jd getar parah barang ga sesui foto kayak barang lapak sebelah yg harga 80rban padahal sebelumnya pernah beli disini dan bagus persis spt foto yg ada indikator di ujung charger makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
gak bisa di pakai,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
kecewa parah nggk berkah jualan gitu,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,Yes
kecewa penjual ga tanggung jawab komplen berhari gada solusi,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,Yes
pas beli nanya dulu tipe untuk macbook pro 13inch m1 yang mana di variasi nya kata penjualnya yang new pro pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual kecewa gamau lagi beli disini ga tanggung jawab,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
kecewa belanja di tempat kamu lain di pesan lain dikirim,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,Yes
tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
salah beli barang tp toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa dehhh,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
data sering error dan hilang,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal jam malem paketnya sampe,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
packing seadanya bubble hanya selapis saja ditambah lapisan plastik hasilnya barang diterima dalam keadaan patah,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
mic dari awal ga nyala,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
kartu sd nya cuma gb katanya official tapi malah mksofficial kecewa ini tidak original,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
kecepatan tdk sesuai dgn deskripsi,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,Yes
mouse kurang bagus pointer nya gerak gerak sendiri,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
infra red nya jelek suka mental ke mana2,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,Yes
batre tidak sesuai ukuran dan tidak ada nano receiver,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
jaringanya ngelek banget lelet mending pake indihome de nyesel juga beli orbit jaringan ya parah,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
tdk sesuai ekspektasi,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
katanya dapat paket gb ternyata setelah di regiatrasi cm mb,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
tidak bisa di register call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
janji bisa kirim instant segera karena kita mau pakai segera nyatanya anda tutup toko baru di kirim paket sampai malam pas besoknya di coba ternyata ssd nya tidak terbaca dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru sama2 di tangerang ongkos gojek instant 33rb berarti dekat dan tidak di kirim2 sampaiiii minggu baru di kirim sangat terlihat sengaja sekali di lama2in sangat tidak professional dalam berjualan online anda jual barang rusak pun tidak ada etikat ucapan maaf dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
beli ssd diterima dalam kondisi rusak,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
tidak berfungsi tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
kurang bagus colok hardisk external tdk terdeteksi,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
produk kurang baik dan rusak,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
untuk kualitas ternyata sama dengan merk china lain 1080p juga yang harga nya 300rb an bahkan lebih bagus merk lain di 600rb an lalu untuk pengiriman lambat sekali dari official store pesan tgl sampai tgl sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp cukup kecewa dengan produk dan pelayanan logitech kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
pengiriman hari terlambat padahal bilang bakal lgsg dikirim habis order di chat lgsg ga respon utk official store brand segede logitech sungguh mengecewakan,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
mousenya kurang responsif jd harus teken agak kuat,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
baru pake bulan sensornya udah jelek suka kemana2,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,Yes
sangat kecewa baru bulan scroll sudah rusak,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
belom bulan udah gak nyala baterai udah diganti tetap saja gak nyala kecewa udah 2x di kerjain logitech,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
sangat mengecewakan barang yg dikirim tidak sesuai konfirmasi sampai harus bolak balik kali saya harus nanggung x ongkos kirim sangat mengecewakan,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
kualitas chargeran jelek bangettt baru tiga hari pakai sudah rusakk,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
pelayanan toko jelek proses barang lambat di chat tidak menjawab barang rata rata,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
barang rusak ga guna sama sekali parah,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
cepet rusak kadang konek kadang engga,unknown,3,Tokopedia,Neutral,Lainnya,No,Elektronik,No
barang gajelas lama sampai kotak penyok,unknown,3,Tokopedia,Neutral,Lainnya,No,Elektronik,No
setelah dicek tidak utuh 32gb kok bisa ya kemana sisa 3gb nya mas mba krn lagi butuh yaudahlah cukup tau beli disini pertama dan terakhir beli disini,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
pesanan saya tidak sampai ke alamat saya mau uang saya kembali saya belum menerima pesanan saya,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
beli kemasan baru di kirim kemasan lama bintang kon tl,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
anjing ternyata palsu ini barang bangsat2 awas ketipu oi yang asli ada segel distributor nya,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
barang kw jangan beli disini,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
barang bosok sekali pake rusak mau claim dijawab berbelit ama adminnya,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
chat tidak di balas kuota yang di janjikan 50gb nya tidak masuk hancur la parah parah,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
ga dikasih adaptor gepeng nya ketipu saya,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
jir sehari pake udah rusak quality control dong yg bener ahelah,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
ini gmn ssd nya gak bisa di pake sy minta ganti,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
beli mahal2 malah sering tiba2 ngeblur kalau dipakai zoom terus menghubungi cs nya suruh klaim garansi aja minta alamat ga dikasih2 hadeuhh webcam jutaan kualitas sampah,unknown,1,Tokopedia,Negative,Harga,No,Elektronik,No
tidak sesuai gambar janggan percaya ama seller ini penipu kualitas jelek,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
tolong pengiriman punya rasa tanggung jawab ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah,unknown,1,Tokopedia,Negative,Rasa,No,Elektronik,No
l2 r2 trigger nya ampas macam,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
barang sampah ini tidak seharusnya dikirimkan ke alamat saya akan tetapi di tong sampah sangat mengecewakan admin tidak merespon sama sekali chat saya lihat barang yg dikirimkan ada dead pixel lalu layar monitornya kebalik sangat mengecewakan catatan buat teman teman yg ingin beli monitor ini tidak ada audio speakernya kualitas layar juga kurang baik jika ada rejeki lebih belilah dengan merek yg bagus saya sangat menyesal belanja di sini saya tidak merekomendasikan belanja disini,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
tidak jujur dan kelihatan kalau memaksakan barang terjual barang dikirim tidak sesuai pesanan dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak dengan resiko barang yg di foto ditawarkan memang sebenarnya mungkin tidak ada,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
beli tgl pesanan selesai tgl dan mouse rusak tgl gak bisa komplain dari toped lagi admin ditanyain gmna cara klaim garansi sangat tidak membantu chat hari ini bales besok da dibales gk di jawab2 lagi,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,Yes
gua beli dapetnya v2 di desc gada penjelasan mengenai versi bagusan v1 apalagi rgbnya rgb v2 bener bener cuma red green blue sisa warnanya gaguna switch puller gadapet rgb redup pula ngga ada pemberitahuan mengenai versi keyboardnya bener2 kecewa kapok beli da ambil ae v rt x v7 tuh bagus drpd ini kecewa mau gua jual lagi pokoknya,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,Yes
belanja dari official store kondisi barang diterima seperti sampah dan barang rongsokan terima kasih,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
ngaco banget pesen mouse tapi gak lengkap gak ada penutup batre sama bluetoothnya,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
barang emang harga aslinya sekitar an tapi seller sok sok an bikin diskon yg dari 99rb di diskon 59rb olshop emang keras,unknown,1,Tokopedia,Negative,Harga,No,Elektronik,No
salah beli gabisa dituker pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot tai,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
sangat tidak puas baik produknya dan pelayanannya barang cacat pada kondisi tertutup saya mejanya tidak bisa menutup rapat itu dikarenakan pemasangan engselnya tidak sejajar tinggi pendek ini yg menyebabkan listnya sobek krn dipaksa saat menutup daun mejanya jadi fix nya ini cacat pabrik bukan masalah pengiriman dan ternyata komplain ga diterima oleh toko penjual suruh hubungi sendiri ke kurirnya,unknown,1,Tokopedia,Negative,Rasa,Yes,Elektronik,No
quality barang jelek baut lepas terus,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
banyakk rusakk dan lecet nyaaaa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
barang pesan yang dateng bayar harga yg dateng makasih ga ush dibuktikan cek aja pengeluaran barang nya baru cek pembeli jgn pembeli yang ditanya2 unboxing ga terlalu penting abis2in quota,unknown,1,Tokopedia,Negative,Harga,No,Elektronik,No
keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa memang lebih murah dari toko lain barang tdk bisa sama saja bohong,unknown,1,Tokopedia,Negative,Harga,Yes,Elektronik,No
barang rusak di kirim,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
gak bener nih harusnya yang dateng tuh meja utuh malah baut2 gak terpasang dan baut2nya kecil banget mau dilem ngaco nih,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
driver ngaco bukan tokonya barang ok itu smart namanya bengak gua kasih puas komen jg lu bintang satunya buat driver,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
kecewa lah gk ada penyelesaian di chat kg di bls di wa kg di bls lari gitu aj sampah,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,Yes
barang dikirim salah pesan webcam logitech di logitech official kok bs dikirimmya headphone jbl dan penukaran barang butuh 4hari kerja sungguh lama,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
bagus banget keyboardnya packing sangat aman karena double kardus warna juga keren,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
aaaa bagus banget pengirimannya cepatt dan aman juga packaging nya bisa nyala juga tdi udh dicoba beli dgn harga rp0 senengggbangett,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
terima kasihh boss mantappss smoga lancarr n berkah rezekinya smngttt boss,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
barangnya buwaguusss sesuai pesanan angin nya kencang seperti angin puting beliung laptop ademmmm benerrr,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantap bgt kualitas beneran sama kaya webcam sejutaan,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
sampai dengan selamat mulus dan berfungsi sempurna seller mau sabar dikonsultasikan dan mengemas dengan aman recommended,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
proses pesanan dan pengiriman barang cukup cepat produk sesuai deskripsi seller responsif sukses dan tetap jaga protokol kesehatan ya seller terima kasih,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
penjual ramah barangnya bagus sesuai dgn pesanan packing rapi padahal cmn pesan,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
selamat siang bos pesanan sudah saya terima belum di pasang di coba packing sangat rapi dan aman product mantap pokoknya top markotop pelayanan sangat oke toko sangat recomended sekali makasih banyak atas semuanya salam sukses sehat dan sejahtera selalu aamiin,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
asli samsung pelayanan sangat baik,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantap laptop jd adem ga cpt panas,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
memory sdh sy pasang ada keping gb ddr3 semua berfungsi dg baik pengiriman lumayan cepat recommended seller,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
waw murah bangetttt packingnya rapih produknya bagus keren mantap sangat uhuuy pisan deh pokoknya hehehehehe,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantab respon cepat pesanan tidak mengecewakan rekomended buat belanja spare part terima kasih atas kerja samanya,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
recommended fast print fast response,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
gila pengiriman cepet banget dr surabaya ke bogor fast respont barang ok sesuai banget packing rapi recomended seller euy ma kasih gan thanks toped,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barangnya sudah sampai cepet banget recommended lah tengkyuuu,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
recommended seller respon cepat pengiriman cukup cepat,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
earcupnya lembut best value headset sound mantap nyaman dan praktis tinggal plug and play mantaaaap laaah buat gamer,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
respon cepat barang original terbaik recomended packing baik sukses selalu ya,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
kualitas suara ok banget apalagi dengan harga yang terjangkau barang pun dijamin ori karena sudah terdaftar di website razer langsung pokoknya bagus lah bassnya juga kerasa,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
kualitas produk sangat baik dengan harga yang tertera nyaman dipakai suara keras dan berfungsi dengan baik definitely would recommend this,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantaaap tanggap banget fast respon juossssssss,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
barangnya bagus bangett dengan harga yang affordable dengan kualitas yang lumayan gokil sihh,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
mantappppp recommended keyboard ma mousenya,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
mantab minnn pengiriman jam sore masih di gasss,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
mantap banget kualitasnya gak usah diragukan lagi,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
cakep produk nya rekomen banget nih sesuai deskripsi,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
packing rapih fast response dan rgbnya juga bagus sangat di rekomendasikan,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
as always gapernah gagal belanja sini thanks ggs,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
cakep bet dah mau duduk aja di kursi ini sampe ga mau berdiri lagi rasanya,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
overall memuaskan layar bagus walau menurut saya ipsnya ga sebagus ips tv warna sudah bagus ga oversaturated brightness sangat terang buat di pakai dalam gelap tetap silau biar brightness udah layar bisa di putar cm di kaki saja gampang kedorong refresh rate terbukti cepat buat fps sudah mantab kalau asa softwarenya mungkin lebih bagus lagi jd setting ga perlu lewat tombol di belakang dpt kabel display port desain keren hampir bezelless nice,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
love it product bagus worth it thank you,unknown,5,Tokopedia,Positive,Harga,No,Elektronik,No
airo ini punya customer service yang super duper bagus kapanpun saya punya pertanyaan mereka selalu jawab dengan okey produknya pun bagus puas banget love airo,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
barangnya mantap berkualitas kokoh bergaransi seller ramah pokoknya mantap banget,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
layanan sangat memuaskan seller rekomended,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
luar biasa packing di jamin aman pakai bubblewrap cepet banget prosesnya senin malam cekout paginya kirim hari ini rabu sore sampai sangat cepat sangat puas terimakasih sukses selalu yah tech cube,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
mantap sekali sangat recommended respon seller bintang baru pesan tadi malam hari ini langsung datang,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No
bahan dari plastik dan tidak kuat juga buat menopang laptop ini sih kuatnya buat tablet gaisss lebih baik jangan beli yang ini,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
barang ga pernah sampe katanya dikirim nyusul tapi ditanya no resi ga dikasih2,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
gak bisa di gunakan ini gimana,unknown,1,Tokopedia,Negative,Lainnya,No,Elektronik,No
saran aja buat temen temen yang beli disini jangan buang box nya simpan terus biar kalo baru beli terus rusak bisa di claim garansinya,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
packaging gk aman bgt bubble wrap tipis alhasil kemasan barang agak penyok pas dateng thank god barangnya aman ini official store seharusnya lebih baik lagi fix min next duh,unknown,2,Tokopedia,Negative,Bentuk,No,Elektronik,No
biarkan gambar bercerita pesan bh yg rusak bh jgn percaya balasan pembelaan apapun dari seller tidak amanah alasan rusak expedisi padahal bisa dilihat sebagian letak cacat bukan dari expedisi dan sebagian yg lain kalaupun dari expedisi ceroboh itu karena packingan tanpa kardus per satuannya dan bubble juga tipis sekali lewat seadanya tanpa tempelan fragile padahal sudah pesan bubble dan kardus tambahan seller berusaha dilimpahkan biar diganti asuransi untung sudah diviseo unboxing dan ditolak jg dr expedisi saya tidak pernah cerita panjang lebar di ulasan tapi berhubung demi kenyamanan buyer lain utk jadi pertimbangan bacalah ini waspadalah waspadalah tidak ada itikad baik berusaha lepas tangan bahaya bisa rusak tokopedia kalau banyak seller begini sudah dikasih note sewaktu proses dan sudah juga dichat dulu sebelum kirim utk hati hati karena mau utk dijual lagi sudah ajukan resolusi pengambalian dana ke tokopedia tp dialihkan ke asuransi utk akhirnya tetap tokopeda refund dana trims admin,unknown,1,Tokopedia,Negative,Bentuk,Yes,Elektronik,No
seharusnya chat dijadikan makesure barang warna dll jgn kaku kaku bgt jadi roko,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
barang diterima dalam kondisi rusak juga di alami beberapa pembeli lain complain di reject oleh seller tapi tokopedia menengahi dan bisa retur tapi sayangnya saya dalam situasi tidak mudah mengirim barang jadi apa boleh buat sangat tidak recommend beli di toko yang cenderung tidak amanah,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
ampun dah ini packing terasal yg pernah gua terima ini klu patah gimana awas aja isinya rusak pas gua pake ya,unknown,2,Tokopedia,Negative,Rasa,Yes,Elektronik,No
produk ini chip di dalamnya didaur ulang dan dipasang kembali setelah menggiling kata kata aslinya pembeli harap perhatikan teman teman tolong beri perhatian khusus,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,No
ini toko korup ga sesuai sama isinya not recommended,unknown,1,Tokopedia,Negative,Bentuk,No,Elektronik,Yes
isi paket via link aja yg di rekomendasikan aja selalu gagal via ovo mandiri sampe bca aja selalu gagal ga siap system nya jangan jualan,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
nope kalau kepikiran mau beli saran saya jangan product sering rto gajelas cs after sales service yg buruk dijamin pengalaman kalian akan kecewa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
pelayanan buruk pengiriman lama dan respon yang lama jangan beli barang disini kalo ga mau kecewa cukup sekali ini aja,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
