Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Review_Text_Preprocessed
"Pelayanan baik, minuman enak datengnya cepet, #septics",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan minum datengnya cepet septics
Tempatnya cocok untuk wedding party dengan konsep outdoor,setahun lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,tempat cocok wedding party konsep outdoor
"Makanannya enak, pelayanan cepat, suasana nyaman, bersiih..",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan cepat suasana nyaman bersiih
makanan enak tmpt nyaman pelayananya baik baik bangetttsssss #terimakasi mba septii,8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tmpt nyaman pelayananya bangetttsssss terimakasi mba septii
Saya merekomendasikannya!!! 🙏🏻✨️ Kunjungi sini …,6 bulan lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,rekomendasi kunjung
Makanan Oke dan harga paketnya relatif Oke dengan semua menu. Makasih,6 bulan lalu,4,Google Maps,Positive,Harga,No,F&B,No,makan oke harga paket relatif oke menu makasih
Penyajian Cukup Cepat dibanding Tempat makan sejenis....,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,saji cepat banding makan jenis
Bagus,5 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,bagus
makanannya enak enak. tempatnya bersih. pelayanan: mas rere,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat bersih layan mas rere
"Makannnya enk , pelayannya bagus .",setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makannnya enk layan bagus
"Makanan dan menunya beraneka ragam, cocok untuk acara ulang tahun",4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan menu aneka ragam cocok acara ulang tahun
"Makanan enak, tempat nyaman, terbaik deh",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman baik
Makanannya super enak good view🥰🥰 …,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan super good view
Alhamdulillah hampir smua nya bagus,setahun lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,alhamdulillah smua bagus
Okok makanannya cck dilidah yang suka masakan Nusantara,2 tahun lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,okok makan cck lidah suka masakan nusantara
"pelayanan nya bagus, makanannya enak, mba nopela baik bangett 🤩🤩🤩🌟🌟🌟🌟🌟 …",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan bagus makan mba nopela bangett
makanannya enak dan layanan bagus dengan mas yusuf susanto,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus mas yusuf susanto
Tempat nya nyaman dan mkan enak..yummy,8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman mkan yummy
"Untuk menu nya enak-enak, pelayanan juga ok..",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,menu layan ok
rohmat good service for food overall enak nikmat see u nextime kita kesini lagi,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,rohmat good service for food overall nikmat see nextime kesini
Makanannya enak.. Guramenya paling enak,7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan guramenya
Playanan ceoat maskan enek2👍👍 …,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,playanan ceoat mas enek2
"Tidak apa-apa, dan Ibu Ade ramah serta suka membantu.",setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,ade ramah suka bantu
"Makananya enak, tahu cabe garam top. Staff juga heboh meriahkan ulang tahun",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makananya cabe garam top staff heboh riah ulang tahun
"Good food, good mood. Servicenya bagus dgn Mas Iman hihi thank youuu",setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,good food good mood servicenya bagus mas iman hihi thank youuu
Makanan enak semua pelayanan ramah maya rere nandar nurul eka,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan ramah maya rere nandar nurul eka
Pelayanan okay ramah ama Mas Ario Makanan ampe habis ludes,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,layan okay ramah ama mas ario makan ampe habis ludes
Mantap lanjutkan ✨,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap lanjut
"Makanannya enak, pelayanannya terbaik",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan baik
Tidak ada ADE,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,ade
"tempatnya nyaman banget cocok buat malmingan, makanan nya enak enak jugaaaaa",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman banget cocok malmingan makan jugaaaaa
"Tempat nya nyaman,pelayanan nya baik,makanan nya enak2 banget",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman layan makan enak2 banget
Makanan enak..tempat nyaman..,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman
"Tempatnya bagus, makanan nya enak & pelayanan cepat serta ramah.",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat bagus makan layan cepat ramah
Tempat nyaman dan menu makanan banyak dan enak. Pelayanan sangat baik,10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman menu makan layan
rasa masakan nya sesuai dengan lisah indonesia.. pelayan yusup susanto ok,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,masakan sesuai lisah indonesia layan yusup susanto ok
Makanannya enak reservasinya full service,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan reservasinya full service
"Tempat nya bersih,nyaman dan makanan nya enak.",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,bersih nyaman makan
Enakkkkk,sebulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,enakkkkk
Enaaaakkk,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,enaaaakkk
"Makanan enak, pelayanan bagus, tempatnya luas, untuk pelayan bang iman juara 👍 …",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus tempat luas layan bang iman juara
Tempatnya nyaman sekalii untuk kumpul” cocok sekali,setahun lalu,4,Google Maps,Positive,Bentuk,No,F&B,No,tempat nyaman sekali kumpul cocok
Viewnyaa bagus makanan enak pelayanan nya ramah Sangat memuaskan,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,viewnyaa bagus makan layan ramah muas
"Okee banget dahh, sukses selalu yaaa !! 2026 makin okee",4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,okee banget dahh sukses yaaa okee
"Untuk tempat nya nyaman, makanan nya enak, mba adel ramah banget 🥰🥰 …",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman makan mba adel ramah banget
"Makanan enak, suasana nyaman, pelayanan bagus mas rahmat fast respon.",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman layan bagus mas rahmat fast respon
"Pelayanannya juara, cepet banget makanan datang.. makanannya semua enak",11 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan juara cepet banget makan makan
"Untuk rasa makanan enak ,penyajian cepat,pelayanan waiters maya baik ramah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan saji cepat layan waiters maya ramah
Tercapai semua yang diinginkan untuk tempat makan bersama keluarga,9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,capai makan keluarga
"Makanannya enak, areanya luas, diluar ataupun didalam tetap nyaman",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan area luas luar dalam nyaman
"tempat nya nyaman, makanan enak cocok buat makan keluarga",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman makan cocok makan keluarga
"Pelayanan ramah, makanan enak, tempatnya nyaman",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan tempat nyaman
Makanan oke pelayanan excelent (Rere maya yusuf),3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan oke layan excelent rere maya yusuf
"Resto rekomend untuk mkn siang, tempat nyaman ,bersih, pelayanan maya ramah",2 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,resto rekomend mkn siang nyaman bersih layan maya ramah
Makanan enak sayuran capcapy enak Pelayanan maya ramah cantik,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan sayur capcapy layan maya ramah cantik
"Makanan nya enak enak, pelayanan dari kak hana baik dan ramah, suasana nya nyaman",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan kak hana ramah suasana nyaman
omong-omong,9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,omong omong
"tempat nya bersih luas ,suasana nyaman ,service maya okeee banget ramah",3 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,bersih luas suasana nyaman service maya okeee banget ramah
Makanannya enak dan selalu pelayanann keren,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan pelayanann keren
"Good place n cozyy service the best makasi tq mas rohmat mknn enakk""",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,good place cozyy service best makas tq mas rohmat mknn enakk
Makanan nya mantap enak semua Pelayanan nya bagus cepat dibantu mba maya,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan mantap layan bagus cepat bantu mba maya
Arisan kesini tuh enak banget apalagi breng temen2 makanannya juara sih 🏆 …,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,arisan kesini tuh banget breng temen2 makan juara
"Makanan nya Enak ,Tiap Senin dan Kamis Ada Diskon 50% Terima Kasih Mba Sarah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan senin kamis diskon terima kasih mba sarah
"Arisan keluarga besar. Lokasi mudah ditemukan, parkir luas, pelayanan cepat.",11 bulan lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,arisan keluarga lokasi mudah temu parkir luas layan cepat
Enak banget makanannya 😍😍 …,3 hari lalu,5,Google Maps,Positive,Rasa,No,F&B,No,banget makan
"makanan nya enak, tempatnya luas, pegawainya ramah (kak rokhmatullah)",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat luas pegawai ramah kak rokhmatullah
Makanan dan pelayanan nya oke bgt...god dyemmm gusy,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan layan oke banget god dyemmm gusy
"Makanannya enak, pelayanannya ramah - yusuf susanto",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan ramah yusuf susanto
pelayanan oke temen saya nyaman sampe gamau pulang nih,2 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,layan oke temen nyaman sampe gamau pulang
Worth it,setahun lalu,5,Google Maps,Positive,Harga,No,F&B,No,worth it
"Tempatnya homy n nyaman Untuk makananya smuq enak,aplgi tumis kangkungnua..mantap👍 …",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat homy nyaman makananya smuq aplgi tumis kangkungnua mantap
"Makanan nya enak, pelayanan nyaa mantap",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan nyaa mantap
"makanan enakk,tempat nyaman, pelayanan maya bagus",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan enakk nyaman layan maya bagus
"Tempatnya luas, bersih, nyaman, makanannya enak2, dan pelayanan sangat memuaskan",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat luas bersih nyaman makan enak2 layan muas
Makanan selalu enak…resepsi disini suasana nya nyaman dan freetanpa biaya tambahan,2 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,makan resepsi suasana nyaman freetanpa biaya tambah
"tempatnya nyaman,adem,pelayanan baik minuman nyaa enak",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman adem layan minum nyaa
Makanannya enak dan suasananya cozy dan nyaman,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana cozy nyaman
Ulanga tahun meriah makanannya enak Pelayanan bagus terutama mas yusuf susanto,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,ulanga tahun riah makan layan bagus mas yusuf susanto
"Makanan nya enak, tempat nyaman untuk makan bareng keluarga or meeting🥰🥰 …",2 hari lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman makan bareng keluarga or meeting
"Makannya enak , tempat Oky pelayanan sat set pokoknya top deh🥰🥰 …",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan oky layan sat set pokok top
Luar biasa tempat mantap buat kluarga enak.dah cuma merasakan sambal terasinya,2 tahun lalu,4,Google Maps,Positive,Rasa,No,F&B,No,mantap kluarga dah rasa sambal terasi
Mantav,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,mantav
Mantap playanannya..apalagi mas issa ramah banget 🔥🔥🔥 …,8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap playanannya mas issa ramah banget
Untuk makan bersama anak diatas 2 tahun ok juga. Rere pelayanan ok,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan anak atas tahun ok rere layan ok
Thanks aroem bekasi. Such a good resto! Thanks for kak shendy dan kak juwita🤍 …,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,thanks aroem bekas such good resto thanks for kak shendy kak juwita
#Lisa Keluarga saya favorit banget makan disini.,2 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,lisa keluarga favorit banget makan
Makanan enak dan suasananya nyaman 🥰 …,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman
Oke,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,oke
Tempat dan makanannya enak. Bakal balik lagi,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan
"yang mau ada acara ditemapt ini, harus jauh² hari reserve nya",2 bulan lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,acara ditemapt reserve
"Tempatnya enak, worth to go here untuk warga bekasi",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat worth to go here warga bekas
Rekomended tempat bersih dan nyaman serta makanan nya enak,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,rekomended bersih nyaman makan
"makanannya enak, pelayanan baik ramah semuanya",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan ramah
"Tempatnya asri ,makanan nya enak dan ruang makannya nyaman",10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat asri makan ruang makan nyaman
Nyaman Luas Adem Mantap,sebulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman luas adem mantap
Mantapppp bangettt recomend for Family time😍😍😍😍😍🫶🏻🫶🏻🫶🏻🫶🏻 …,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantapppp bangettt recommended for family time
"Makanannya enak², tempatnyaa juga bersih dan nyaman",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempatnyaa bersih nyaman
Makanannya enak enak. Oke semuanya,8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan oke
"Masakan enak,kepiting gede,tempat bersih,pemandangan lumayan",3 tahun lalu,4,Google Maps,Positive,Rasa,No,F&B,No,masakan kepiting gede bersih pandang lumayan
"my experience wasnt good, makanan ga fresh, banyak nyamuk dan makanan ga panas",8 bulan lalu,1,Google Maps,Negative,Lainnya,No,F&B,No,my experience wasnt good makan fresh nyamuk makan panas
pelayanan bagus mba septi,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,layan bagus mba septi
"Makanannya enak, ikan bakarnya segar, tempat nyaman dan pelayanan oke Yusuf",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan ikan bakar segar nyaman layan oke yusuf
Tempat yang bagus untuk berkumpul bersama keluarga.,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,bagus kumpul keluarga
Pelayanan ramah dan menyenangkan Tempat nyaman Makanan enak🥰👌👌 …,10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah senang nyaman makan
"Makanannya enak, pelayanannya bagus, makasih mas zusup susanto",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus makasih mas zusup susanto
"Tempatnya nyaman, makanannya enak semua",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman makan
Penuh,9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,penuh
"Makanannya enak , pelayanannya cepat tempatnya nyaman pokoknya mantap",10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan cepat tempat nyaman pokok mantap
"Pelayanan bagus, cepat dan rasa makanan enak (Rere)",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan bagus cepat makan rere
"Makananbnya enak dan Es campurnya enak,pelayanan maya bagus baik",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makananbnya es campur layan maya bagus
Enak enak semua makanannya stafnya juga ramah (maya),2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan staf ramah maya
wenak@sspti cs,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,wenak sspti cs
Tempat luas makanan enak pelayanan ramah dan baik terimaksih bapak kurnia,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,luas makan layan ramah terimaksih kurnia
Bleapsett,9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,bleapsett
Makanan nya enak enak dan pelayanan nya baguss banget! Sukses selalu Aroem resto!,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan baguss banget sukses aroem resto
"Makanan nya enak, pelayanan nya cepat, dan staff nya ramah2 ☺️",10 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan cepat staff ramah2
goodjob kak sarah ramah dan servicenya top seru jg makan bareng keluarga disini🫰 …,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,goodjob kak sarah ramah servicenya top seru jg makan bareng keluarga
"Makanan enak, tempat nya bersih nyaman, pelayanan ramah",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan bersih nyaman layan ramah
"Lumayan makanan nya enak, parkir gampang",setahun lalu,4,Google Maps,Positive,Rasa,No,F&B,No,lumayan makan parkir gampang
masakannya oke dan makanannya sangat enak yusuf susanto,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,masakan oke makan yusuf susanto
"Makanan dan masakan enakk polllll, pelayanan mas Yusuf susanto gokillll🫶🏻🫶🏻 …",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan masakan enakk polllll layan mas yusuf susanto gokillll
Makanan enak Ultah meriah Pelayan dengan mas Yusuf Susanto Thankyou,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan ultah riah layan mas yusuf susanto thankyou
Tempat makan yang enak dan nyaman #terima kasih mas fajar,11 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman terima kasih mas fajar
Tempat nyaman dan enak buat keluarga makanan juga mantap,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman keluarga makan mantap
Cobain tmpt baru nya lbh cakep dr yg lama,5 bulan lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,cobain tmpt lbh cakep
Cozy banget kopinya juga enak😍😍🙏🏻 …,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,cozy banget kopi
Pelayanan dan makanan enak tempat luas cocok untuk semua acara,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan makan luas cocok acara
"tempatnya nyaman, sejuk, luas. makanannya enak, porsinya pas untuk makan siang.",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman sejuk luas makan porsi pas makan siang
Enak banget makananya ramah pelayanannya cakep buat foto fotonya,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,banget makananya ramah layan cakep foto foto
Tempatnya sangat bagus dan nyaman luas juga. Bersih dan top markotop👍🏻 the best …,6 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,tempat bagus nyaman luas bersih top markotop best
Nice place to dine with kids... Food tastes good.,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nice place to dine with kids food tastes good
Ada banyak lalat.,setahun lalu,3,Google Maps,Neutral,Lainnya,No,F&B,No,lalat
"Pelayanannya oke bgt , makanan enak, lokasi strategic, harga worth it",setahun lalu,5,Google Maps,Positive,Harga,No,F&B,No,layan oke banget makan lokasi strategic harga worth it
"makanan nya enak, suasana nya juga nyaman, mantap 👍 …",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman mantap
Suasananya sejuk enak buat nongkrong pokoknya recommended bgt deh,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,suasana sejuk nongkrong pokok recommended banget
Pelayanan nya ramah dan makanan nya enak,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan
Bagus dan nyaman bngettt di sono,setahun lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,bagus nyaman bngettt sono
Makanan maknyussss... Service excellent!! Mas Rohmatulloh top pisan!!,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan maknyussss service excellent mas rohmatulloh top pis
Mantul suasananya Sunda pisan,2 tahun lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,mantul suasana sunda pis
makanannya worth it dan pelayanan nya ramah!,3 bulan lalu,5,Google Maps,Positive,Harga,No,F&B,No,makan worth it layan ramah
"Tempat nya nyaman, luas dan menu nya rekomended semua👍🔥 …",3 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,nyaman luas menu rekomended
Harapan,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,harap
Minggu bersama keluarga,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,minggu keluarga
Makanan enak. Service memuaskan dan sigap,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan service muas sigap
